_ID_;_MODEL_;_STATUS_;_OPTIONS_
12438;"Corin Jenny 14862 red sale";0;"select|Размер|M(38)|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12460;"WDB231303 Charmante Claret sale";1;select|Размер|42C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12461;"WP191301 Meilin sale";1;select|Размер|40B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12462;"WDT281307 Padma sale";1;select|Размер|38B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12463;"WPB281308 Symyn sale";1;select|Размер|38B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12472;"ICMBX 770107 sale";1;"select|Размер|XL|1|2|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|S|1|0|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|2|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12473;"ICMBX 770108 sale";0;image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
12482;"Alles Mama Roxy soft sale";0;select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12485;"Alles Mama New soft sale";1;"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|85B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12488;"Charmante BASETTA pantacollant sale";1;"image|Цвет|ANTRACYT|1|2|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|1/2|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12489;"Tinctoria 20 parigina sale";1;"select|Размер|S/M|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L/XL|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|0|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12491;"VCL311309 низ sale";0;"image|Цвет|Фиолетовый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/fioletovyj.jpg
image|Цвет|Голубой|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/goluboj.jpg
select|Размер|36|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|38|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12492;"VTY311310 низ sale";1;"image|Цвет|Фиолетовый|1|0|0|-|0.0000|+|0|+|0.00000000|data/colors/fioletovyj.jpg
select|Размер|36|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12493;"WQ271305 Messalina sale";1;select|Размер|36|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12494;"WQ271306 Victoriana sale";1;select|Размер|36/38|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12495;"Corin Charlotte 15841 pas sale";1;"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|M(38)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12498;"Adrian Pips 20 sale";0;"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|2|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12499;"Adrian Carnival 20 den sale";0;"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|1/2|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12500;"Adrian Feeling 20 sale";0;"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|1/2|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12501;"Adrian Vintage 20 sale";0;"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|1/2|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12520;"Mama Latoila top sale";1;select|Размер|80F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12525;"Alles Calais f classic sale";1;select|Размер|XL(42)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12527;"Alles Dzerma f sale";1;select|Размер|XL(42)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12528;"Fragola f sale";1;select|Размер|M(38)|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12531;"Mama Fresh slip sale";1;"select|Размер|XL(42)|1|2|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|XXL|1|2|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12532;"Mama Roxy f sale";1;select|Размер|XL(42)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12533;"Alles Monserat f sale";1;select|Размер|M(38)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12534;"Alles Vienna 01 f sale";0;select|Размер|M(38)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12555;"Alles Carla s sale";1;select|Размер|XL(42)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12556;"Fragola s sale";1;select|Размер|L|1|2|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12557;"Alles Garden string granat sale";1;select|Размер|XL(42)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12559;"Alles Isabella s sale";1;select|Размер|S(36)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12560;"Alles Joy s sale";1;"select|Размер|M(38)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12562;"Alles Patricia s sale";1;"select|Размер|S(36)|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|M(38)|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|0|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Белый|1|0|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12564;"Alles Vienna s sale";1;select|Размер|L|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12566;"Ava 1155-56 Cambrai s sale";1;"select|Размер|L|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12582;"Alles Elena F20 s sale";1;"select|Размер|L|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12592;"ICMBX 770110 sale";1;"select|Размер|XL|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12593;"Caprice 206/2 p-up sale";1;"select|Размер|70D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12624;"Arb 051206 sale";1;select|Размер|74|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12627;"Charmante SP Stefania 40 aut sale";1;"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|S/M|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12629;"Charmante Carvaglio aut. sale";1;"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|4|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|3|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12630;"Charmante MAZZO DI CARTE aut. 20 sale";1;"select|Размер|S/M|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L/XL|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12631;"Charmante CLASTERA 60 sale";1;select|Размер|L/XL|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12635;"Alles La Femme f sale";1;"select|Размер|XL|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12644;"Alles Mama Rene f sale";1;select|Размер|L|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12646;"Ava 1156 Cambrai pas sale";1;image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
12653;"Alles mama Cleo natural k sale";1;"select|Размер|XL(42)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|M(38)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12661;"Charmante Sfaglitto 80den sale";1;select|Размер|3/4|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12693;"granvelli sale";1;"select|Размер|L/XL|1|1|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Графит|1|1|0|+|0.0000|+|0|+|0.00000000|data/colors/grafit.jpg"
12694;"tucano sale";1;select|Размер|S/M|1|1|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
13274;"Babella 3056 sale";1;"image|Цвет|Гранатовый|1|20|1|+|0.0000|+|0|+|0.00000000|data/colors/granat.jpg
select|Размер|L|1|0|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
13275;"Babella 3053 sale";1;"select|Размер|L|1|6|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Серый/красный|1|11|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
13277;"Ava 995 Caltha sale";1;"image|Цвет|Черный|1|459|1|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|85D|1|103|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
