_ID_;_MODEL_;_STATUS_;_OPTIONS_
12288;"Key TBC 601 B4 bra violet sale";1;"select|Размер|75AA|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70BB|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70AA|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12289;"Key TBS 540 A4 bra sale";1;"select|Размер|75AA|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70BB|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Розовый|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/rozovyj.jpg
image|Цвет|Белый|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12291;"Lupo 1324 m sale";1;select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12292;"Lupo 1334 m sale";1;select|Размер|85B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12293;"Lupo 1381 soft white sale";1;select|Размер|85D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12294;"Alles Mama Cubana soft sale";0;"select|Размер|85D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12295;"Alles Mama Fruit m sale";1;select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12296;"11912 бюст м sale";1;"select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12300;"Corin Florence skin 11827 m sale";1;select|Размер|90D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12301;"Corin Florence skin 12827 m sale";1;"select|Размер|90E|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12302;"Corin Karen 12845 semi-soft sale";1;"select|Размер|85G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
