_ID_;_MODEL_;_STATUS_;_OPTIONS_
12326;"Alles Izis p-up sale";1;"select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12327;"Alles Latino p-up sale";1;"image|Цвет|Черный|1|2|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Белый|1|4|0|+|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|75C|1|2|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|2|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70A|1|2|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12328;"Alles Monserat p-up sale";1;"select|Размер|70B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Светло-розовый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/light_pink.jpg"
12329;"Alles Obsession p-up sale";0;select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12333;"Corin Bella 14860 black p-up sale";1;"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12334;"Corin Jenny 14862 red p-up sale";1;"select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Красный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/red.jpg"
12352;"Gatta koszulka sport top sale";1;"image|Цвет|Черный|1|10|1|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|M(38)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12353;"Alles Padme 02 p-up sale";1;"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12355;"Ava 1156 Cambrai p-up sale";1;"select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12357;"Alles Candy Party full cup sale";1;"select|Размер|70F|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70E|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12360;"Alles Dubai  p-up sale";1;"select|Размер|80D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|9|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
