_ID_;_MODEL_;_OPTIONS_
12268;"Envie POLO ROSES p";"select|Размер|M(38)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12269;"Envie ROSES p";select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12271;"Eldar ROXANA top";"image|Цвет|Черный|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|M(38)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12272;"Envie DJ PILLOW p";select|Размер|M(38)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12273;"Envie ACTION p grey";select|Размер|M(48)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12274;"Envie ENDU p blue";select|Размер|L(50)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12275;"Envie SPORTING p";"select|Размер|M(48)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|XL(52)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12276;"Kinga 287 Innocent push-up";select|Размер|70B|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12277;"Corin Eva 53851 k sale";"select|Размер|S(36)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Темно-красный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/temno-krasnyj.jpg"
12278;"Eldar selena f micro sale";"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|L(40)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12280;"Zaffiro sale";"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|90C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12281;"Ava 740 b Intimo sale";"select|Размер|80C|1|2|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75D|1|1|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|2|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
image|Цвет|Черный|1|1|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12282;"Corin Naomi 15829 b sale";select|Размер|85B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12283;"Gaia 48 Hortensja b sale";"select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12284;"Alles Calais b sale";"select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70D|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Шампанский|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/shampanskij.jpg"
12285;"11780 бюст sale";"image|Цвет|Черный|1|0|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|80A|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70A|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12286;"Alles Mama II/B soft sale";"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12287;"KEY TBC 601 B4 bra pink  sale";select|Размер|70BB|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12288;"Key TBC 601 B4 bra violet sale";"select|Размер|75AA|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70BB|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70AA|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12289;"Key TBS 540 A4 bra sale";"select|Размер|75AA|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70BB|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/white.jpg
image|Цвет|Розовый|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/rozovyj.jpg"
12291;"Lupo 1324 m sale";"select|Размер|85B|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12292;"Lupo 1334 m sale";select|Размер|85B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12293;"Lupo 1381 soft white sale";select|Размер|85D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
