_ID_;_NAME_;_STATUS_;_OPTIONS_
12294;"Бюстгальтер мягкий для кормления Alles Cubana";1;"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|85D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12295;"Мягкий хлопковый бюстгальтер для кормления Alles Mama Fruit";1;select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12296;"Мягкий хлопковый бюстгальтер без каркасов для кормления Milavitsa 11912";1;"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12298;"Бюстгальтер полумягкий кружевной  Alles Vienna 02";1;select|Размер|75F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12300;"Бюстгальтер мягкий кружевной Corin Florence 11827";1;select|Размер|90D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12301;"Бюстгальтер полумягкий кружевной Corin Florence 12827";1;"select|Размер|90E|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12302;"Бюстгальтер полумягкий кружевной Corin Karen 12845";1;"select|Размер|85G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12303;"Бюстгальтер полумягкий с кружевом Corin Rosalie 12826";1;select|Размер|85F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12304;"Бюстгальтер полумягкий с кружевом Gaja 218 Paris pink";1;select|Размер|95C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12305;"Бюстгальтер атласный полумягкий кружевной Kinga SV 274 Cannes";1;select|Размер|85D|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12306;"Бюстгальтер полумягкий кружевной Konrad Viki";1;select|Размер|80F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12307;"Бюстгальтер полумягкий кружевной Kris Line Victoria";1;select|Размер|85G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12308;"Бюстгальтер полумягкий Milavitsa 11746";1;"select|Размер|80D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12309;"Бюстгальтер мягкий хлопковый без каркасов для кормления Lupo 1344";1;"image|Цвет|Розовый 2|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/magenta.jpg
select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12313;"Бюстгальтер мягкий кружевной Corin Rosalie pink 11826";1;"select|Размер|85F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85E|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
